actor,movie
Tim Robbins,The Shawshank Redemption
Morgan Freeman,The Shawshank Redemption
Bob Gunton,The Shawshank Redemption
Marlon Brando,The Godfather
Al Pacino,The Godfather
James Caan,The Godfather
Christian Bale,The Dark Knight
Heath Ledger,The Dark Knight
Aaron Eckhart,The Dark Knight
Al Pacino,The Godfather Part II
Robert De Niro,The Godfather Part II
Robert Duvall,The Godfather Part II
Henry Fonda,12 Angry Men
Lee J. Cobb,12 Angry Men
Martin Balsam,12 Angry Men
Liam Neeson,Schindler's List
Ralph Fiennes,Schindler's List
Ben Kingsley,Schindler's List
Elijah Wood,The Lord of the Rings: The Return of the King
Viggo Mortensen,The Lord of the Rings: The Return of the King
Ian McKellen,The Lord of the Rings: The Return of the King
John Travolta,Pulp Fiction
Uma Thurman,Pulp Fiction
Samuel L. Jackson,Pulp Fiction
Elijah Wood,The Lord of the Rings: The Fellowship of the Ring
Ian McKellen,The Lord of the Rings: The Fellowship of the Ring
Orlando Bloom,The Lord of the Rings: The Fellowship of the Ring
Clint Eastwood,"The Good, the Bad and the Ugly"
Eli Wallach,"The Good, the Bad and the Ugly"
Lee Van Cleef,"The Good, the Bad and the Ugly"
Tom Hanks,Forrest Gump
Robin Wright,Forrest Gump
Gary Sinise,Forrest Gump
Elijah Wood,The Lord of the Rings: The Two Towers
Ian McKellen,The Lord of the Rings: The Two Towers
Viggo Mortensen,The Lord of the Rings: The Two Towers
Brad Pitt,Fight Club
Edward Norton,Fight Club
Meat Loaf,Fight Club
Leonardo DiCaprio,Inception
Joseph Gordon-Levitt,Inception
Elliot Page,Inception
Mark Hamill,Star Wars: Episode V - The Empire Strikes Back
Harrison Ford,Star Wars: Episode V - The Empire Strikes Back
Carrie Fisher,Star Wars: Episode V - The Empire Strikes Back
Keanu Reeves,The Matrix
Laurence Fishburne,The Matrix
Carrie-Anne Moss,The Matrix
Robert De Niro,Goodfellas
Ray Liotta,Goodfellas
Joe Pesci,Goodfellas
Jack Nicholson,One Flew Over the Cuckoo's Nest
Louise Fletcher,One Flew Over the Cuckoo's Nest
Michael Berryman,One Flew Over the Cuckoo's Nest
Morgan Freeman,Se7en
Brad Pitt,Se7en
Kevin Spacey,Se7en
Matthew McConaughey,Interstellar
Anne Hathaway,Interstellar
Jessica Chastain,Interstellar
James Stewart,It's a Wonderful Life
Donna Reed,It's a Wonderful Life
Lionel Barrymore,It's a Wonderful Life
Toshirô Mifune,Seven Samurai
Takashi Shimura,Seven Samurai
Keiko Tsushima,Seven Samurai
Jodie Foster,The Silence of the Lambs
Anthony Hopkins,The Silence of the Lambs
Scott Glenn,The Silence of the Lambs
Timothée Chalamet,Dune: Part Two
Zendaya,Dune: Part Two
Rebecca Ferguson,Dune: Part Two
Tom Hanks,Saving Private Ryan
Matt Damon,Saving Private Ryan
Tom Sizemore,Saving Private Ryan
Alexandre Rodrigues,City of God
Leandro Firmino,City of God
Matheus Nachtergaele,City of God
Roberto Benigni,Life Is Beautiful
Nicoletta Braschi,Life Is Beautiful
Giorgio Cantarini,Life Is Beautiful
Tom Hanks,The Green Mile
Michael Clarke Duncan,The Green Mile
David Morse,The Green Mile
Arnold Schwarzenegger,Terminator 2: Judgment Day
Linda Hamilton,Terminator 2: Judgment Day
Edward Furlong,Terminator 2: Judgment Day
Mark Hamill,Star Wars: Episode IV - A New Hope
Harrison Ford,Star Wars: Episode IV - A New Hope
Carrie Fisher,Star Wars: Episode IV - A New Hope
Michael J. Fox,Back to the Future
Christopher Lloyd,Back to the Future
Lea Thompson,Back to the Future
Daveigh Chase,Spirited Away
Suzanne Pleshette,Spirited Away
Miyu Irino,Spirited Away
Adrien Brody,The Pianist
Thomas Kretschmann,The Pianist
Frank Finlay,The Pianist
Song Kang-ho,Parasite
Lee Sun-kyun,Parasite
Cho Yeo-jeong,Parasite
Anthony Perkins,Psycho
Janet Leigh,Psycho
Vera Miles,Psycho
Shameik Moore,Spider-Man: Across the Spider-Verse
Hailee Steinfeld,Spider-Man: Across the Spider-Verse
Brian Tyree Henry,Spider-Man: Across the Spider-Verse
Russell Crowe,Gladiator
Joaquin Phoenix,Gladiator
Connie Nielsen,Gladiator
Matthew Broderick,The Lion King
Jeremy Irons,The Lion King
James Earl Jones,The Lion King
Leonardo DiCaprio,The Departed
Matt Damon,The Departed
Jack Nicholson,The Departed
Jean Reno,Léon: The Professional
Gary Oldman,Léon: The Professional
Natalie Portman,Léon: The Professional
Edward Norton,American History X
Edward Furlong,American History X
Beverly D'Angelo,American History X
Miles Teller,Whiplash
J.K. Simmons,Whiplash
